vehIdList,vehicleTypeList,mainMode,travelTime,OZone,DZone,actstart,actend,startTime
veh_Bus_Line_2_dir_bwd_2;veh_Tram_Line_1_dir_bwd_3,bus_type;tram_type,pt,8398.0,zone_14_17,zone_7_4,home,work,25200.0
veh_Bus_Line_2_dir_fwd_2;veh_Train_Line_1_dir_bwd_3,bus_type;train_type,pt,8399.0,zone_17_8,zone_0_23,home,work,25200.0
veh_Train_Line_1_dir_bwd_3,train_type,pt,8418.0,zone_24_29,zone_16_23,home,work,25200.0
veh_Bus_Line_2_dir_bwd_2;veh_Tram_Line_1_dir_bwd_3,bus_type;tram_type,pt,8427.0,zone_16_22,zone_0_6,home,work,25200.0
,,pt,8430.0,zone_1_15,zone_14_18,home,work,25200.0
veh_Train_Line_1_dir_fwd_2;veh_Bus_Line_2_dir_bwd_3,train_type;bus_type,pt,8516.0,zone_4_23,zone_13_12,home,work,25200.0
veh_Tram_Line_1_dir_bwd_2;veh_Bus_Line_1_dir_fwd_3,tram_type;bus_type,pt,8518.0,zone_13_2,zone_0_10,home,work,25200.0
veh_Train_Line_1_dir_fwd_2;veh_Bus_Line_3_dir_bwd_3,train_type;bus_type,pt,8527.0,zone_3_23,zone_29_4,home,work,25200.0
veh_Tram_Line_1_dir_fwd_2;veh_Bus_Line_2_dir_fwd_3,tram_type;bus_type,pt,8529.0,zone_5_6,zone_14_22,home,work,25200.0
veh_Tram_Line_1_dir_bwd_2;veh_Bus_Line_2_dir_fwd_3,tram_type;bus_type,pt,8537.0,zone_20_4,zone_13_13,home,work,25200.0
veh_Tram_Line_1_dir_bwd_2;veh_Bus_Line_1_dir_fwd_3,tram_type;bus_type,pt,8562.0,zone_23_4,zone_1_18,home,work,25200.0
veh_Bus_Line_1_dir_fwd_2,bus_type,pt,8576.0,zone_1_1,zone_7_16,home,work,25200.0
veh_Tram_Line_1_dir_fwd_2;veh_Bus_Line_2_dir_fwd_3,tram_type;bus_type,pt,8663.0,zone_4_7,zone_13_13,home,work,25200.0
veh_Bus_Line_2_dir_fwd_2;veh_Train_Line_1_dir_bwd_3,bus_type;train_type,pt,8669.0,zone_15_6,zone_7_22,home,work,25200.0
veh_Train_Line_1_dir_bwd_2;veh_Bus_Line_1_dir_bwd_3,train_type;bus_type,pt,8695.0,zone_20_27,zone_1_12,home,work,25200.0
veh_Bus_Line_2_dir_fwd_2;veh_Train_Line_1_dir_bwd_3,bus_type;train_type,pt,8844.0,zone_19_15,zone_1_25,home,work,25200.0
veh_Bus_Line_2_dir_bwd_2,bus_type,pt,8892.0,zone_18_24,zone_7_14,home,work,25200.0
veh_Tram_Line_1_dir_bwd_2;veh_Bus_Line_1_dir_fwd_3,tram_type;bus_type,pt,8907.0,zone_22_10,zone_2_11,home,work,25200.0
veh_Bus_Line_2_dir_bwd_2,bus_type,pt,8947.0,zone_13_22,zone_22_14,home,work,25200.0
veh_Train_Line_1_dir_fwd_2;veh_Bus_Line_3_dir_bwd_3,train_type;bus_type,pt,8953.0,zone_7_24,zone_27_17,home,work,25200.0
veh_Train_Line_1_dir_bwd_2;veh_Bus_Line_1_dir_bwd_3,train_type;bus_type,pt,8958.0,zone_5_23,zone_2_12,home,work,25200.0
veh_Bus_Line_2_dir_bwd_2;veh_Tram_Line_1_dir_fwd_3,bus_type;tram_type,pt,8959.0,zone_9_19,zone_22_4,home,work,25200.0
veh_Tram_Line_1_dir_fwd_2;veh_Bus_Line_3_dir_fwd_3,tram_type;bus_type,pt,9048.0,zone_24_6,zone_28_23,home,work,25200.0
veh_Tram_Line_1_dir_bwd_3,tram_type,pt,9083.0,zone_22_10,zone_13_4,home,work,25200.0
veh_Tram_Line_1_dir_fwd_2;veh_Bus_Line_2_dir_fwd_3,tram_type;bus_type,pt,9104.0,zone_8_6,zone_16_19,home,work,25200.0
veh_Tram_Line_1_dir_fwd_2;veh_Bus_Line_3_dir_fwd_3,tram_type;bus_type,pt,9110.0,zone_2_4,zone_27_12,home,work,25200.0
veh_Bus_Line_2_dir_fwd_2;veh_Train_Line_1_dir_bwd_3,bus_type;train_type,pt,9111.0,zone_12_8,zone_1_25,home,work,25200.0
veh_Train_Line_1_dir_bwd_2;veh_Bus_Line_2_dir_bwd_3,train_type;bus_type,pt,9118.0,zone_26_24,zone_16_19,home,work,25200.0
veh_Tram_Line_1_dir_fwd_2;veh_Bus_Line_2_dir_fwd_3,tram_type;bus_type,pt,9131.0,zone_8_3,zone_17_11,home,work,25200.0
veh_Train_Line_1_dir_fwd_2;veh_Bus_Line_2_dir_bwd_3,train_type;bus_type,pt,9174.0,zone_5_27,zone_12_18,home,work,25200.0
veh_Tram_Line_1_dir_bwd_2;veh_Bus_Line_2_dir_fwd_3,tram_type;bus_type,pt,9196.0,zone_24_6,zone_17_16,home,work,25200.0
,,pt,9205.0,zone_25_16,zone_16_26,home,work,25200.0
