vehIdList,vehicleTypeList,mainMode,startTime,travelTime
veh_Tram_Line_1_dir_fwd_2;veh_Bus_Line_3_dir_fwd_3,tram_type;bus_type,pt,25200.0,9738.0
veh_Bus_Line_2_dir_fwd_3,bus_type,pt,25200.0,9791.0
veh_Bus_Line_2_dir_bwd_2;veh_Tram_Line_1_dir_bwd_3,bus_type;tram_type,pt,25200.0,9792.0
veh_Train_Line_1_dir_fwd_2;veh_Bus_Line_2_dir_bwd_3,train_type;bus_type,pt,25200.0,9828.0
veh_Tram_Line_1_dir_fwd_2;veh_Bus_Line_3_dir_bwd_3,tram_type;bus_type,pt,25200.0,9848.0
veh_Tram_Line_1_dir_bwd_2;veh_Bus_Line_2_dir_fwd_3,tram_type;bus_type,pt,25200.0,9850.0
veh_Bus_Line_2_dir_fwd_2;veh_Train_Line_1_dir_fwd_3,bus_type;train_type,pt,25200.0,9895.0
veh_Train_Line_1_dir_bwd_2;veh_Bus_Line_1_dir_bwd_3,train_type;bus_type,pt,25200.0,9897.0
veh_Bus_Line_1_dir_bwd_3,bus_type,pt,25200.0,9906.0
veh_Bus_Line_2_dir_bwd_2;veh_Tram_Line_1_dir_bwd_3,bus_type;tram_type,pt,25200.0,9907.0
veh_Tram_Line_1_dir_bwd_2;veh_Bus_Line_2_dir_fwd_3,tram_type;bus_type,pt,25200.0,9959.0
veh_Train_Line_1_dir_fwd_2;veh_Bus_Line_2_dir_bwd_3,train_type;bus_type,pt,25200.0,9973.0
veh_Bus_Line_2_dir_bwd_2;veh_Tram_Line_1_dir_bwd_3,bus_type;tram_type,pt,25200.0,10018.0
veh_Train_Line_1_dir_bwd_3,train_type,pt,25200.0,10022.0
veh_Bus_Line_2_dir_bwd_2;veh_Tram_Line_1_dir_fwd_3,bus_type;tram_type,pt,25200.0,10052.0
veh_Train_Line_1_dir_fwd_2;veh_Bus_Line_3_dir_bwd_3,train_type;bus_type,pt,25200.0,10058.0
veh_Tram_Line_1_dir_bwd_3,tram_type,pt,25200.0,10071.0
veh_Tram_Line_1_dir_fwd_2;veh_Bus_Line_2_dir_fwd_3,tram_type;bus_type,pt,25200.0,10199.0
veh_Bus_Line_2_dir_fwd_2;veh_Train_Line_1_dir_bwd_3,bus_type;train_type,pt,25200.0,10205.0
veh_Tram_Line_1_dir_fwd_2;veh_Bus_Line_2_dir_fwd_3,tram_type;bus_type,pt,25200.0,10217.0
veh_Tram_Line_1_dir_fwd_2;veh_Bus_Line_3_dir_fwd_3,tram_type;bus_type,pt,25200.0,10227.0
veh_Tram_Line_1_dir_fwd_2;veh_Bus_Line_3_dir_fwd_3,tram_type;bus_type,pt,25200.0,10229.0
veh_Tram_Line_1_dir_fwd_2;veh_Bus_Line_2_dir_fwd_3,tram_type;bus_type,pt,25200.0,10278.0
veh_Train_Line_1_dir_bwd_2;veh_Bus_Line_1_dir_bwd_3,train_type;bus_type,pt,25200.0,10298.0
veh_Tram_Line_1_dir_bwd_2;veh_Bus_Line_1_dir_fwd_3,tram_type;bus_type,pt,25200.0,10306.0
veh_Train_Line_1_dir_fwd_2;veh_Bus_Line_3_dir_bwd_3,train_type;bus_type,pt,25200.0,10326.0
veh_Train_Line_1_dir_bwd_2;veh_Bus_Line_1_dir_bwd_3,train_type;bus_type,pt,25200.0,10464.0
veh_Tram_Line_1_dir_fwd_2;veh_Bus_Line_3_dir_fwd_3,tram_type;bus_type,pt,25200.0,10531.0
veh_Bus_Line_2_dir_bwd_2;veh_Tram_Line_1_dir_fwd_3,bus_type;tram_type,pt,25200.0,10559.0
veh_Bus_Line_2_dir_bwd_2;veh_Tram_Line_1_dir_bwd_3,bus_type;tram_type,pt,25200.0,10593.0
veh_Tram_Line_1_dir_bwd_2;veh_Bus_Line_2_dir_fwd_3,tram_type;bus_type,pt,25200.0,10605.0
veh_Bus_Line_2_dir_fwd_3,bus_type,pt,25200.0,10607.0
veh_Bus_Line_1_dir_bwd_3,bus_type,pt,25200.0,10671.0
veh_Bus_Line_2_dir_fwd_2;veh_Train_Line_1_dir_bwd_3,bus_type;train_type,pt,25200.0,10681.0
veh_Bus_Line_2_dir_fwd_2;veh_Train_Line_1_dir_fwd_3,bus_type;train_type,pt,25200.0,10700.0
veh_Bus_Line_2_dir_bwd_2;veh_Tram_Line_1_dir_bwd_3,bus_type;tram_type,pt,25200.0,10737.0
veh_Train_Line_1_dir_fwd_2;veh_Bus_Line_3_dir_bwd_3,train_type;bus_type,pt,25200.0,10738.0
veh_Tram_Line_1_dir_fwd_2;veh_Bus_Line_3_dir_bwd_3,tram_type;bus_type,pt,25200.0,10812.0
veh_Train_Line_1_dir_bwd_2;veh_Bus_Line_1_dir_bwd_3,train_type;bus_type,pt,25200.0,10858.0
veh_Train_Line_1_dir_fwd_2;veh_Bus_Line_2_dir_bwd_3,train_type;bus_type,pt,25200.0,10959.0
veh_Bus_Line_3_dir_fwd_3,bus_type,pt,25200.0,10983.0
veh_Tram_Line_1_dir_fwd_2;veh_Bus_Line_2_dir_fwd_3,tram_type;bus_type,pt,25200.0,11036.0
veh_Tram_Line_1_dir_bwd_2;veh_Bus_Line_1_dir_fwd_3,tram_type;bus_type,pt,25200.0,11170.0
veh_Bus_Line_2_dir_bwd_2;veh_Tram_Line_1_dir_fwd_3,bus_type;tram_type,pt,25200.0,11294.0
veh_Tram_Line_1_dir_fwd_2;veh_Bus_Line_3_dir_fwd_3,tram_type;bus_type,pt,25200.0,11323.0
veh_Train_Line_1_dir_fwd_2;veh_Bus_Line_2_dir_bwd_3,train_type;bus_type,pt,25200.0,11394.0
veh_Train_Line_1_dir_bwd_2;veh_Bus_Line_1_dir_bwd_3,train_type;bus_type,pt,25200.0,11516.0
veh_Tram_Line_1_dir_bwd_2;veh_Bus_Line_1_dir_fwd_3,tram_type;bus_type,pt,25200.0,11554.0
veh_Train_Line_1_dir_bwd_3;veh_Bus_Line_1_dir_bwd_4,train_type;bus_type,pt,25200.0,11563.0
veh_Bus_Line_2_dir_bwd_2;veh_Tram_Line_1_dir_fwd_3,bus_type;tram_type,pt,25200.0,11642.0
veh_Bus_Line_2_dir_fwd_3;veh_Train_Line_1_dir_bwd_4,bus_type;train_type,pt,25200.0,11674.0
veh_Bus_Line_2_dir_bwd_3,bus_type,pt,25200.0,11849.0
veh_Train_Line_1_dir_fwd_2;veh_Bus_Line_2_dir_bwd_3;veh_Tram_Line_1_dir_fwd_4,train_type;bus_type;tram_type,pt,25200.0,11869.0
veh_Train_Line_1_dir_bwd_2;veh_Bus_Line_1_dir_bwd_3,train_type;bus_type,pt,25200.0,11876.0
veh_Bus_Line_2_dir_bwd_2;veh_Tram_Line_1_dir_bwd_3;veh_Bus_Line_1_dir_fwd_4,bus_type;tram_type;bus_type,pt,25200.0,11921.0
veh_Bus_Line_2_dir_bwd_2;veh_Tram_Line_1_dir_bwd_3;veh_Bus_Line_1_dir_fwd_4,bus_type;tram_type;bus_type,pt,25200.0,11973.0
veh_Train_Line_1_dir_fwd_3;veh_Bus_Line_3_dir_bwd_4,train_type;bus_type,pt,25200.0,11992.0
veh_Tram_Line_1_dir_bwd_3;veh_Bus_Line_1_dir_fwd_4,tram_type;bus_type,pt,25200.0,12028.0
veh_Tram_Line_1_dir_bwd_2;veh_Bus_Line_2_dir_fwd_3,tram_type;bus_type,pt,25200.0,12029.0
veh_Train_Line_1_dir_bwd_2;veh_Bus_Line_1_dir_bwd_3,train_type;bus_type,pt,25200.0,12084.0
veh_Train_Line_1_dir_bwd_3;veh_Bus_Line_2_dir_fwd_3,train_type;bus_type,pt,25200.0,12105.0
veh_Train_Line_1_dir_bwd_2;veh_Bus_Line_2_dir_bwd_3;veh_Tram_Line_1_dir_fwd_4,train_type;bus_type;tram_type,pt,25200.0,12244.0
veh_Train_Line_1_dir_bwd_3;veh_Bus_Line_1_dir_bwd_4,train_type;bus_type,pt,25200.0,12261.0
veh_Train_Line_1_dir_bwd_2;veh_Bus_Line_2_dir_bwd_3,train_type;bus_type,pt,25200.0,12293.0
veh_Train_Line_1_dir_bwd_3;veh_Bus_Line_2_dir_bwd_4,train_type;bus_type,pt,25200.0,12616.0
veh_Bus_Line_2_dir_fwd_2;veh_Train_Line_1_dir_fwd_3;veh_Bus_Line_3_dir_bwd_4,bus_type;train_type;bus_type,pt,25200.0,12668.0
veh_Train_Line_1_dir_bwd_3;veh_Bus_Line_1_dir_bwd_4,train_type;bus_type,pt,25200.0,12738.0
veh_Tram_Line_1_dir_bwd_2;veh_Bus_Line_2_dir_fwd_3;veh_Train_Line_1_dir_bwd_4,tram_type;bus_type;train_type,pt,25200.0,12828.0
veh_Bus_Line_2_dir_fwd_2;veh_Train_Line_1_dir_fwd_3;veh_Bus_Line_3_dir_bwd_4,bus_type;train_type;bus_type,pt,25200.0,12910.0
veh_Train_Line_1_dir_bwd_3;veh_Bus_Line_2_dir_bwd_4,train_type;bus_type,pt,25200.0,12922.0
veh_Train_Line_1_dir_bwd_3;veh_Bus_Line_1_dir_bwd_4,train_type;bus_type,pt,25200.0,12928.0
veh_Bus_Line_2_dir_bwd_2;veh_Tram_Line_1_dir_bwd_3;veh_Bus_Line_1_dir_fwd_4,bus_type;tram_type;bus_type,pt,25200.0,12960.0
veh_Bus_Line_2_dir_bwd_3;veh_Tram_Line_1_dir_fwd_4,bus_type;tram_type,pt,25200.0,12986.0
veh_Train_Line_1_dir_bwd_3;veh_Bus_Line_2_dir_bwd_4,train_type;bus_type,pt,25200.0,13001.0
veh_Tram_Line_1_dir_bwd_3;veh_Bus_Line_1_dir_fwd_4,tram_type;bus_type,pt,25200.0,13038.0
veh_Tram_Line_1_dir_bwd_3;veh_Bus_Line_2_dir_fwd_4,tram_type;bus_type,pt,25200.0,13152.0
veh_Tram_Line_1_dir_bwd_3;veh_Bus_Line_2_dir_fwd_4,tram_type;bus_type,pt,25200.0,13163.0
veh_Tram_Line_1_dir_bwd_2;veh_Bus_Line_2_dir_fwd_3;veh_Train_Line_1_dir_bwd_4,tram_type;bus_type;train_type,pt,25200.0,13219.0
veh_Bus_Line_2_dir_bwd_3;veh_Tram_Line_1_dir_bwd_4,bus_type;tram_type,pt,25200.0,13243.0
veh_Tram_Line_1_dir_bwd_3;veh_Bus_Line_1_dir_fwd_4,tram_type;bus_type,pt,25200.0,13273.0
veh_Train_Line_1_dir_fwd_2;veh_Bus_Line_2_dir_bwd_3;veh_Tram_Line_1_dir_fwd_4,train_type;bus_type;tram_type,pt,25200.0,13291.0
veh_Tram_Line_1_dir_bwd_2;veh_Bus_Line_2_dir_fwd_3;veh_Train_Line_1_dir_bwd_4,tram_type;bus_type;train_type,pt,25200.0,13314.0
veh_Bus_Line_2_dir_fwd_3;veh_Train_Line_1_dir_bwd_4,bus_type;train_type,pt,25200.0,13326.0
veh_Tram_Line_1_dir_bwd_3;veh_Bus_Line_2_dir_fwd_4,tram_type;bus_type,pt,25200.0,13338.0
